z,pT,z_pT,Q2,flavor,flavor_index,nrep,weighted_collins_mean,weighted_collins_std
0.3,0.3869346733668342,0.11608040201005025,4.0,unf,3,50,-0.07059727273307834,0.02881331712154397
0.3,0.3919597989949749,0.11758793969849246,4.0,fav,1,50,0.03026338228229278,0.024254821850799295
0.3,0.3919597989949749,0.11758793969849246,4.0,unf,3,50,-0.07195521119897656,0.029305285355086252
0.3,0.3969849246231156,0.11909547738693467,4.0,fav,1,50,0.03090870236761563,0.024697134965527848
0.3,0.3969849246231156,0.11909547738693467,4.0,unf,3,50,-0.07330891204488225,0.029792384548441173
0.3,0.4020100502512563,0.12060301507537688,4.0,fav,1,50,0.031556018970183675,0.02513703297503481
0.3,0.4020100502512563,0.12060301507537688,4.0,unf,3,50,-0.0746577874920344,0.03027434488813566
0.3,0.40703517587939697,0.12211055276381909,4.0,fav,1,50,0.032205147098720584,0.0255743044098681
0.3,0.40703517587939697,0.12211055276381909,4.0,unf,3,50,-0.07600125555316534,0.030750901478537974
0.3,0.4120603015075377,0.1236180904522613,4.0,fav,1,50,0.032855902239600956,0.02600874012286412
0.3,0.4120603015075377,0.1236180904522613,4.0,unf,3,50,-0.07733874033333211,0.031221794509324247
0.3,0.4170854271356784,0.12512562814070352,4.0,fav,1,50,0.033508100428341306,0.026440133402489577
0.3,0.4170854271356784,0.12512562814070352,4.0,unf,3,50,-0.07866967232441549,0.03168676941787596
0.3,0.4221105527638191,0.12663316582914572,4.0,fav,1,50,0.03416155832025891,0.02686828008395298
0.3,0.4221105527638191,0.12663316582914572,4.0,unf,3,50,-0.07999348869310868,0.032145577046508604
0.3,0.4271356783919598,0.12814070351758794,4.0,fav,1,50,0.03481609326026339,0.02729297865801921
0.3,0.4271356783919598,0.12814070351758794,4.0,unf,3,50,-0.08130963356222491,0.03259797379443334
0.3,0.4321608040201005,0.12964824120603013,4.0,fav,1,50,0.03547152335174558,0.027714030377465778
0.3,0.4321608040201005,0.12964824120603013,4.0,unf,3,50,-0.08261755828516094,0.033043721764361225
0.3,0.4371859296482412,0.13115577889447236,4.0,fav,1,50,0.03612766752453103,0.02813123936111876
0.3,0.4371859296482412,0.13115577889447236,4.0,unf,3,50,-0.08391672171335936,0.03348258890366769
0.3,0.44221105527638194,0.13266331658291458,4.0,fav,1,50,0.03678434560186444,0.02854441269541168
0.3,0.44221105527638194,0.13266331658291458,4.0,unf,3,50,-0.08520659045662175,0.03391434914003516
0.3,0.4472361809045226,0.13417085427135678,4.0,fav,1,50,0.037441378366393954,0.028953360533411215
0.3,0.4472361809045226,0.13417085427135678,4.0,unf,3,50,-0.08648663913613064,0.034338782511506176
0.3,0.45226130653266333,0.135678391959799,4.0,fav,1,50,0.038098587625124136,0.029357896191256744
0.3,0.45226130653266333,0.135678391959799,4.0,unf,3,50,-0.08775635063004612,0.034755675290879
0.3,0.457286432160804,0.1371859296482412,4.0,fav,1,50,0.038755796273307795,0.0297578362419641
0.3,0.457286432160804,0.1371859296482412,4.0,unf,3,50,-0.08901521631155114,0.035164820104386874
0.3,0.4623115577889447,0.13869346733668342,4.0,fav,1,50,0.039412828357248214,0.03015300060654489
0.3,0.4623115577889447,0.13869346733668342,4.0,unf,3,50,-0.0902627362792263,0.03556601604460878
0.3,0.46733668341708545,0.14020100502512564,4.0,fav,1,50,0.0400695091359835,0.03054321264239707
0.3,0.46733668341708545,0.14020100502512564,4.0,unf,3,50,-0.09149841957964357,0.035959068777563066
0.3,0.4723618090452261,0.14170854271356784,4.0,fav,1,50,0.040725665141826566,0.030928299228924327
0.3,0.4723618090452261,0.14170854271356784,4.0,unf,3,50,-0.09272178442207418,0.036343790643946626
0.3,0.47738693467336685,0.14321608040201006,4.0,fav,1,50,0.0413811242397353,0.03130809085034389
0.3,0.47738693467336685,0.14321608040201006,4.0,unf,3,50,-0.09393235838521713,0.036720000754481584
