z,pT,z_pT,Q2,flavor,flavor_index,nrep,unpolarized_ff_mean,unpolarized_ff_std
0.3,0.3969849246231156,0.11909547738693467,4.0,unf,3,50,1.4853289253335198,0.031021814476271264
0.3,0.4020100502512563,0.12060301507537688,4.0,fav,1,50,3.2854079633994346,0.09333339441965054
0.3,0.4020100502512563,0.12060301507537688,4.0,unf,3,50,1.4816716838325488,0.030860731351959502
0.3,0.40703517587939697,0.12211055276381909,4.0,fav,1,50,3.2758183132082555,0.09275694615876512
0.3,0.40703517587939697,0.12211055276381909,4.0,unf,3,50,1.4779776197436392,0.030698239811878244
0.3,0.4120603015075377,0.1236180904522613,4.0,fav,1,50,3.266138080136679,0.09217595603957726
0.3,0.4120603015075377,0.1236180904522613,4.0,unf,3,50,1.4742470538461787,0.030534360894547835
0.3,0.4170854271356784,0.12512562814070352,4.0,fav,1,50,3.256368234730055,0.09159051037578463
0.3,0.4170854271356784,0.12512562814070352,4.0,unf,3,50,1.470480309506772,0.03036911577461321
0.3,0.4221105527638191,0.12663316582914572,4.0,fav,1,50,3.246509754396588,0.09100069592641755
0.3,0.4221105527638191,0.12663316582914572,4.0,unf,3,50,1.4666777126326038,0.030202525758890073
0.3,0.4271356783919598,0.12814070351758794,4.0,fav,1,50,3.236563623244759,0.09040659987661678
0.3,0.4271356783919598,0.12814070351758794,4.0,unf,3,50,1.4628395916245314,0.03003461228208802
0.3,0.4321608040201005,0.12964824120603013,4.0,fav,1,50,3.226530831920024,0.08980830981872742
0.3,0.4321608040201005,0.12964824120603013,4.0,unf,3,50,1.4589662773299075,0.029865396902889613
0.3,0.4371859296482412,0.13115577889447236,4.0,fav,1,50,3.2164123774408186,0.08920591373316267
0.3,0.4371859296482412,0.13115577889447236,4.0,unf,3,50,1.455058102995148,0.029694901299854172
0.3,0.44221105527638194,0.13266331658291458,4.0,fav,1,50,3.206209263033929,0.08859949996909376
0.3,0.44221105527638194,0.13266331658291458,4.0,unf,3,50,1.4511154042180556,0.02952314726705709
0.3,0.4472361809045226,0.13417085427135678,4.0,fav,1,50,3.195922497969231,0.08798915722550076
0.3,0.4472361809045226,0.13417085427135678,4.0,unf,3,50,1.4471385188999017,0.029350156710362417
0.3,0.45226130653266333,0.135678391959799,4.0,fav,1,50,3.1855530973938704,0.087374974531798
0.3,0.45226130653266333,0.135678391959799,4.0,unf,3,50,1.4431277871972852,0.029175951642902136
0.3,0.457286432160804,0.1371859296482412,4.0,fav,1,50,3.1751020821659006,0.08675704122878107
0.3,0.457286432160804,0.1371859296482412,4.0,unf,3,50,1.4390835514737708,0.029000554181123527
0.3,0.4623115577889447,0.13869346733668342,4.0,fav,1,50,3.1645704786874274,0.08613544694919051
0.3,0.4623115577889447,0.13869346733668342,4.0,unf,3,50,1.435006156251316,0.028823986540682526
0.3,0.46733668341708545,0.14020100502512564,4.0,fav,1,50,3.153959318737284,0.08551028159882064
0.3,0.46733668341708545,0.14020100502512564,4.0,unf,3,50,1.4308959481615076,0.028646271032115943
0.3,0.4723618090452261,0.14170854271356784,4.0,fav,1,50,3.1432696393032966,0.08488163533703255
0.3,0.4723618090452261,0.14170854271356784,4.0,unf,3,50,1.4267532758966024,0.028467430056721175
0.3,0.47738693467336685,0.14321608040201006,4.0,fav,1,50,3.132502482414165,0.08424959855741457
0.3,0.47738693467336685,0.14321608040201006,4.0,unf,3,50,1.4225784901603873,0.02828748610245011
0.3,0.4824120603015075,0.14472361809045226,4.0,fav,1,50,3.1216588949709756,0.08361426186941058
0.3,0.4824120603015075,0.14472361809045226,4.0,unf,3,50,1.4183719436188758,0.028106461739646035
0.3,0.48743718592964824,0.14623115577889448,4.0,fav,1,50,3.1107399285784485,0.08297571607784972
0.3,0.48743718592964824,0.14623115577889448,4.0,unf,3,50,1.4141339908508386,0.02792437961686494
0.3,0.49246231155778897,0.14773869346733667,4.0,fav,1,50,3.0997466393758684,0.0823340521650178
0.3,0.49246231155778897,0.14773869346733667,4.0,unf,3,50,1.409864988298186,0.027741262456723363
0.3,0.49748743718592964,0.1492462311557789,4.0,fav,1,50,3.088680087867813,0.0816893612710162
0.3,0.49748743718592964,0.1492462311557789,4.0,unf,3,50,1.4055652942162116,0.027557133051566887
0.3,0.5025125628140703,0.1507537688442211,4.0,fav,1,50,3.0775413387546866,0.08104173467443881
