z,Q2,flavor,flavor_index,nrep,H1perp1_mean,H1perp1_std
0.06417085427135678,4.0,d,3,50,-28.700315521897874,20.533842783442115
0.06417085427135678,4.0,db,4,50,3.3637126361955216,3.4677632067777653
0.06417085427135678,4.0,s,5,50,-28.700315521897874,20.533842783442115
0.06417085427135678,4.0,sb,6,50,-28.700315521897874,20.533842783442115
0.06417085427135678,4.0,c,7,50,0.0,0.0
0.06417085427135678,4.0,cb,8,50,0.0,0.0
0.06417085427135678,4.0,b,9,50,0.0,0.0
0.06417085427135678,4.0,bb,10,50,0.0,0.0
0.06909547738693467,4.0,u,1,50,3.467591822254156,3.4160475051909347
0.06909547738693467,4.0,ub,2,50,-26.90954221227646,18.393378758027218
0.06909547738693467,4.0,d,3,50,-26.90954221227646,18.393378758027218
0.06909547738693467,4.0,db,4,50,3.467591822254156,3.4160475051909347
0.06909547738693467,4.0,s,5,50,-26.90954221227646,18.393378758027218
0.06909547738693467,4.0,sb,6,50,-26.90954221227646,18.393378758027218
0.06909547738693467,4.0,c,7,50,0.0,0.0
0.06909547738693467,4.0,cb,8,50,0.0,0.0
0.06909547738693467,4.0,b,9,50,0.0,0.0
0.06909547738693467,4.0,bb,10,50,0.0,0.0
0.07402010050251256,4.0,u,1,50,3.5546835108434585,3.3539601602477433
0.07402010050251256,4.0,ub,2,50,-25.17033433592321,16.45070228635936
0.07402010050251256,4.0,d,3,50,-25.17033433592321,16.45070228635936
0.07402010050251256,4.0,db,4,50,3.5546835108434585,3.3539601602477433
0.07402010050251256,4.0,s,5,50,-25.17033433592321,16.45070228635936
0.07402010050251256,4.0,sb,6,50,-25.17033433592321,16.45070228635936
0.07402010050251256,4.0,c,7,50,0.0,0.0
0.07402010050251256,4.0,cb,8,50,0.0,0.0
0.07402010050251256,4.0,b,9,50,0.0,0.0
0.07402010050251256,4.0,bb,10,50,0.0,0.0
0.07894472361809045,4.0,u,1,50,3.625712421373724,3.282864421201107
0.07894472361809045,4.0,ub,2,50,-23.49340297216733,14.692726316954396
0.07894472361809045,4.0,d,3,50,-23.49340297216733,14.692726316954396
0.07894472361809045,4.0,db,4,50,3.625712421373724,3.282864421201107
0.07894472361809045,4.0,s,5,50,-23.49340297216733,14.692726316954396
0.07894472361809045,4.0,sb,6,50,-23.49340297216733,14.692726316954396
0.07894472361809045,4.0,c,7,50,0.0,0.0
0.07894472361809045,4.0,cb,8,50,0.0,0.0
0.07894472361809045,4.0,b,9,50,0.0,0.0
0.07894472361809045,4.0,bb,10,50,0.0,0.0
0.08386934673366835,4.0,u,1,50,3.68145716583936,3.2040361116256473
0.08386934673366835,4.0,ub,2,50,-21.88627633284847,13.10627885647724
0.08386934673366835,4.0,d,3,50,-21.88627633284847,13.10627885647724
0.08386934673366835,4.0,db,4,50,3.68145716583936,3.2040361116256473
0.08386934673366835,4.0,s,5,50,-21.88627633284847,13.10627885647724
0.08386934673366835,4.0,sb,6,50,-21.88627633284847,13.10627885647724
0.08386934673366835,4.0,c,7,50,0.0,0.0
0.08386934673366835,4.0,cb,8,50,0.0,0.0
0.08386934673366835,4.0,b,9,50,0.0,0.0
0.08386934673366835,4.0,bb,10,50,0.0,0.0
0.08879396984924623,4.0,u,1,50,3.722734021868076,3.118662086307851
0.08879396984924623,4.0,ub,2,50,-20.353946864705723,11.678334997830026
0.08879396984924623,4.0,d,3,50,-20.353946864705723,11.678334997830026
0.08879396984924623,4.0,db,4,50,3.722734021868076,3.118662086307851
0.08879396984924623,4.0,s,5,50,-20.353946864705723,11.678334997830026
0.08879396984924623,4.0,sb,6,50,-20.353946864705723,11.678334997830026
0.08879396984924623,4.0,c,7,50,0.0,0.0
0.08879396984924623,4.0,cb,8,50,0.0,0.0
0.08879396984924623,4.0,b,9,50,0.0,0.0
0.08879396984924623,4.0,bb,10,50,0.0,0.0
0.09371859296482411,4.0,u,1,50,3.75038332611839,3.0278411943158865
0.09371859296482411,4.0,ub,2,50,-18.8993893672222,10.39619747278802
0.09371859296482411,4.0,d,3,50,-18.8993893672222,10.39619747278802
0.09371859296482411,4.0,db,4,50,3.75038332611839,3.0278411943158865
0.09371859296482411,4.0,s,5,50,-18.8993893672222,10.39619747278802
0.09371859296482411,4.0,sb,6,50,-18.8993893672222,10.39619747278802
0.09371859296482411,4.0,c,7,50,0.0,0.0
0.09371859296482411,4.0,cb,8,50,0.0,0.0
0.09371859296482411,4.0,b,9,50,0.0,0.0
0.09371859296482411,4.0,bb,10,50,0.0,0.0
0.09864321608040201,4.0,u,1,50,3.7652580833017026,2.932586750322813
0.09864321608040201,4.0,ub,2,50,-17.523978684356162,9.247631600891447
0.09864321608040201,4.0,d,3,50,-17.523978684356162,9.247631600891447
0.09864321608040201,4.0,db,4,50,3.7652580833017026,2.932586750322813
