x,kT,Q2,flavor,flavor_index,nrep,collins_mean,collins_std
0.0198989898989899,0.039696969696969696,4.0,unf,3,50,-0.05483849509156375,0.09124467788144844
0.0198989898989899,0.049595959595959596,4.0,fav,1,50,0.0005477515972362662,0.001027388203656284
0.0198989898989899,0.049595959595959596,4.0,unf,3,50,-0.05483811911349885,0.09124395081031318
0.0198989898989899,0.059494949494949496,4.0,fav,1,50,0.0005477490697568174,0.001027383400081137
0.0198989898989899,0.059494949494949496,4.0,unf,3,50,-0.05483765977744067,0.09124306254136352
0.0198989898989899,0.06939393939393938,4.0,fav,1,50,0.000547746083604271,0.0010273777247840445
0.0198989898989899,0.06939393939393938,4.0,unf,3,50,-0.05483711708558018,0.0912420130793912
0.0198989898989899,0.07929292929292929,4.0,fav,1,50,0.0005477426387874204,0.0010273711777839681
0.0198989898989899,0.07929292929292929,4.0,unf,3,50,-0.054836491040505836,0.09124080243005778
0.0198989898989899,0.08919191919191918,4.0,fav,1,50,0.0005477387353164097,0.0010273637591027812
0.0198989898989899,0.08919191919191918,4.0,unf,3,50,-0.05483578164520376,0.09123943059989381
0.0198989898989899,0.09909090909090908,4.0,fav,1,50,0.0005477343732027334,0.0010273554687652703
0.0198989898989899,0.09909090909090908,4.0,unf,3,50,-0.05483498890305749,0.09123789759629988
0.0198989898989899,0.10898989898989898,4.0,fav,1,50,0.0005477295524592364,0.0010273463067991325
0.0198989898989899,0.10898989898989898,4.0,unf,3,50,-0.05483411281784826,0.0912362034275454
0.0198989898989899,0.11888888888888888,4.0,fav,1,50,0.0005477242731001143,0.0010273362732349783
0.0198989898989899,0.11888888888888888,4.0,unf,3,50,-0.05483315339375454,0.09123434810276931
0.0198989898989899,0.12878787878787878,4.0,fav,1,50,0.0005477185351409127,0.0010273253681063277
0.0198989898989899,0.12878787878787878,4.0,unf,3,50,-0.054832110635352344,0.09123233163197969
0.0198989898989899,0.1386868686868687,4.0,fav,1,50,0.0005477123385985276,0.0010273135914496147
0.0198989898989899,0.1386868686868687,4.0,unf,3,50,-0.05483098454761508,0.09123015402605375
0.0198989898989899,0.1485858585858586,4.0,fav,1,50,0.0005477056834912054,0.0010273009433041812
0.0198989898989899,0.1485858585858586,4.0,unf,3,50,-0.05482977513591357,0.09122781529673765
0.0198989898989899,0.15848484848484848,4.0,fav,1,50,0.0005476985698385418,0.0010272874237122818
0.0198989898989899,0.15848484848484848,4.0,unf,3,50,-0.05482848240601584,0.09122531545664654
0.0198989898989899,0.16838383838383839,4.0,fav,1,50,0.0005476909976614828,0.001027273032719082
0.0198989898989899,0.16838383838383839,4.0,unf,3,50,-0.05482710636408721,0.09122265451926433
0.0198989898989899,0.1782828282828283,4.0,fav,1,50,0.0005476829669823244,0.0010272577703726558
0.0198989898989899,0.1782828282828283,4.0,unf,3,50,-0.05482564701669033,0.09121983249894346
0.0198989898989899,0.18818181818181817,4.0,fav,1,50,0.0005476744778247123,0.0010272416367239888
0.0198989898989899,0.18818181818181817,4.0,unf,3,50,-0.054824104370784846,0.09121684941090506
0.0198989898989899,0.19808080808080808,4.0,fav,1,50,0.0005476655302136411,0.0010272246318269748
0.0198989898989899,0.19808080808080808,4.0,unf,3,50,-0.054822478433727666,0.0912137052712387
0.0198989898989899,0.207979797979798,4.0,fav,1,50,0.0005476561241754556,0.0010272067557384177
0.0198989898989899,0.207979797979798,4.0,unf,3,50,-0.054820769213272585,0.09121040009690207
0.0198989898989899,0.21787878787878787,4.0,fav,1,50,0.0005476462597378495,0.0010271880085180294
0.0198989898989899,0.21787878787878787,4.0,unf,3,50,-0.054818976717570495,0.09120693390572097
0.0198989898989899,0.22777777777777777,4.0,fav,1,50,0.0005476359369298654,0.0010271683902284311
0.0198989898989899,0.22777777777777777,4.0,unf,3,50,-0.054817100955169146,0.09120330671638924
0.0198989898989899,0.23767676767676768,4.0,fav,1,50,0.0005476251557818952,0.001027147900935151
0.0198989898989899,0.23767676767676768,4.0,unf,3,50,-0.054815141935013266,0.0911995185484684
0.0198989898989899,0.24757575757575756,4.0,fav,1,50,0.0005476139163256796,0.0010271265407066248
0.0198989898989899,0.24757575757575756,4.0,unf,3,50,-0.05481309966644411,0.0911955694223876
0.0198989898989899,0.25747474747474747,4.0,fav,1,50,0.0005476022185943074,0.0010271043096141967
0.0198989898989899,0.25747474747474747,4.0,unf,3,50,-0.054810974159199874,0.09119145935944349
0.0198989898989899,0.2673737373737374,4.0,fav,1,50,0.0005475900626222161,0.0010270812077321156
0.0198989898989899,0.2673737373737374,4.0,unf,3,50,-0.054808765423415194,0.09118718838179973
0.0198989898989899,0.2772727272727273,4.0,fav,1,50,0.000547577448445192,0.0010270572351375373
0.0198989898989899,0.2772727272727273,4.0,unf,3,50,-0.05480647346962135,0.09118275651248721
0.0198989898989899,0.2871717171717172,4.0,fav,1,50,0.0005475643761003684,0.0010270323919105231
0.0198989898989899,0.2871717171717172,4.0,unf,3,50,-0.05480409830874607,0.09117816377540355
0.0198989898989899,0.29707070707070704,4.0,fav,1,50,0.0005475508456262268,0.0010270066781340394
0.0198989898989899,0.29707070707070704,4.0,unf,3,50,-0.05480163995211337,0.091173410195313
0.0198989898989899,0.30696969696969695,4.0,fav,1,50,0.0005475368570625965,0.0010269800938939564
0.0198989898989899,0.30696969696969695,4.0,unf,3,50,-0.054799098411443536,0.09116849579784607
0.0198989898989899,0.31686868686868686,4.0,fav,1,50,0.0005475224104506541,0.0010269526392790494
0.0198989898989899,0.31686868686868686,4.0,unf,3,50,-0.054796473698853126,0.09116342060949954
0.0198989898989899,0.32676767676767676,4.0,fav,1,50,0.000547507505832923,0.0010269243143809957
0.0198989898989899,0.32676767676767676,4.0,unf,3,50,-0.05479376582685465,0.09115818465763605
0.0198989898989899,0.33666666666666667,4.0,fav,1,50,0.000547492143253274,0.0010268951192943753
0.0198989898989899,0.33666666666666667,4.0,unf,3,50,-0.054790974808356686,0.09115278797048396
0.0198989898989899,0.3465656565656566,4.0,fav,1,50,0.0005474763227569244,0.001026865054116671
0.0198989898989899,0.3465656565656566,4.0,unf,3,50,-0.05478810065666359,0.09114723057713697
